Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
2001-03-05 12:30:00,BLC,5.41,73.97,-1.38,95.93,-14.1,10.7,61.1
2001-03-05 12:30:00,DIK,18.00,68.74,30.34,94.31,49.6,-11.8,6.1
2001-03-05 12:31:00,BLC,5.43,73.97,-1.38,95.82,-20.0,14.5,61.1
2001-03-05 12:31:00,DIK,18.01,68.74,30.34,94.38,48.5,-11.8,5.2
2001-03-05 12:32:00,BLC,5.44,73.97,-1.38,95.71,-23.9,20.3,62.1
2001-03-05 12:32:00,DIK,18.03,68.74,30.34,94.45,45.5,-11.8,5.2
2001-03-05 12:33:00,BLC,5.46,73.97,-1.38,95.60,-27.7,23.1,57.1
2001-03-05 12:33:00,DIK,18.05,68.74,30.34,94.52,40.4,-11.8,4.3
2001-03-05 12:34:00,BLC,5.48,73.97,-1.38,95.50,-23.4,20.2,59.1
2001-03-05 12:34:00,DIK,18.06,68.74,30.34,94.59,36.4,-8.4,4.4
2001-03-05 12:35:00,BLC,5.49,73.97,-1.38,95.39,-23.0,16.1,64.1
2001-03-05 12:35:00,DIK,18.08,68.74,30.34,94.66,33.3,-8.4,4.4
2001-03-05 12:36:00,BLC,5.51,73.97,-1.38,95.28,-37.8,18.6,62.1
2001-03-05 12:36:00,DIK,18.10,68.74,30.34,94.73,30.2,-6.7,4.5
2001-03-05 12:37:00,BLC,5.53,73.97,-1.38,95.17,-43.4,12.3,54.1
2001-03-05 12:37:00,DIK,18.11,68.74,30.34,94.80,28.2,-3.3,4.5
2001-03-05 12:38:00,BLC,5.54,73.97,-1.38,95.06,-37.9,5.4,49.1
2001-03-05 12:38:00,DIK,18.13,68.74,30.34,94.87,25.1,-1.6,4.6
2001-03-05 12:39:00,BLC,5.56,73.97,-1.38,94.95,-40.6,2.3,38.0
2001-03-05 12:39:00,DIK,18.14,68.74,30.34,94.94,21.1,0.1,4.6
2001-03-05 12:40:00,BLC,5.58,73.97,-1.38,94.85,-44.4,4.1,28.0
2001-03-05 12:40:00,DIK,18.16,68.74,30.34,95.01,18.0,1.8,4.7
2001-03-05 12:41:00,BLC,5.59,73.97,-1.38,94.74,-42.3,8.1,33.0
2001-03-05 12:41:00,DIK,18.18,68.74,30.34,95.08,14.9,3.5,4.8
2001-03-05 12:42:00,BLC,5.61,73.97,-1.38,94.63,-45.9,4.9,37.0
2001-03-05 12:42:00,DIK,18.19,68.74,30.34,95.15,10.9,5.1,4.8
2001-03-05 12:43:00,BLC,5.63,73.97,-1.38,94.52,-47.7,5.8,33.0
2001-03-05 12:43:00,DIK,18.21,68.74,30.34,95.22,7.8,6.8,4.9
2001-03-05 12:44:00,BLC,5.64,73.97,-1.38,94.41,-43.4,2.8,30.0
2001-03-05 12:44:00,DIK,18.23,68.74,30.34,95.30,5.7,6.8,5.0
2001-03-05 12:45:00,BLC,5.66,73.97,-1.38,94.30,-39.1,1.9,28.0
2001-03-05 12:45:00,DIK,18.24,68.74,30.34,95.37,5.7,5.1,5.0
2001-03-05 12:46:00,BLC,5.68,73.97,-1.38,94.20,-34.9,4.9,20.1
2001-03-05 12:46:00,DIK,18.26,68.74,30.34,95.44,5.6,3.4,5.1
2001-03-05 12:47:00,BLC,5.69,73.97,-1.38,94.09,-20.4,-3.7,13.1
