Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
2001-03-05 12:00:00,BLC,4.91,73.97,-1.38,99.18,-41.6,7.9,68.1
2001-03-05 12:00:00,BSL,5.79,41.39,0.73,95.14,-25.8,-5.9,5.7
2001-03-05 12:00:00,DLR,4.84,38.99,7.38,104.90,-29.6,-0.5,4.3
2001-03-05 12:00:00,EKP,5.20,71.18,-2.60,98.52,9.3,0.0,-10.2
2001-03-05 12:00:00,FCC,5.24,68.98,-1.09,98.66,12.7,-19.4,6.3
2001-03-05 12:00:00,GIM,5.21,66.67,0.78,99.08,-17.2,-0.2,-5.5
2001-03-05 12:00:00,PIN,5.13,60.57,3.85,100.24,-12.0,-2.0,5.8
2001-03-05 12:00:00,RAN,5.39,72.90,-7.77,97.54,-73.3,23.2,39.0
2001-03-05 12:00:00,TAL,5.01,78.86,-17.14,97.79,6.1,22.4,34.5
2001-03-05 12:01:00,BLC,4.92,73.97,-1.38,99.07,-48.3,5.7,61.0
2001-03-05 12:01:00,BSL,5.81,41.39,0.73,94.92,-26.7,-6.7,5.7
2001-03-05 12:01:00,DLR,4.86,38.99,7.38,104.68,-29.6,-1.3,4.3
2001-03-05 12:01:00,EKP,5.22,71.18,-2.60,98.40,24.1,-9.4,-10.9
2001-03-05 12:01:00,FCC,5.25,68.98,-1.09,98.53,-7.4,-12.7,17.4
2001-03-05 12:01:00,GIM,5.23,66.67,0.78,98.94,-3.6,8.4,-16.7
2001-03-05 12:01:00,PIN,5.15,60.57,3.85,100.08,-11.0,-1.9,8.1
2001-03-05 12:01:00,RAN,5.41,72.90,-7.77,97.42,-64.4,13.5,30.6
2001-03-05 12:01:00,TAL,5.02,78.86,-17.14,97.70,4.0,17.9,35.8
2001-03-05 12:02:00,BLC,4.94,73.97,-1.38,98.97,-51.1,7.5,51.0
2001-03-05 12:02:00,BSL,5.82,41.39,0.73,94.71,-26.7,-7.5,5.8
2001-03-05 12:02:00,DLR,4.88,38.99,7.38,104.46,-30.5,-2.1,4.3
2001-03-05 12:02:00,EKP,5.24,71.18,-2.60,98.28,34.2,-14.2,-2.7
2001-03-05 12:02:00,FCC,5.27,68.98,-1.09,98.40,-29.5,-9.0,11.5
2001-03-05 12:02:00,GIM,5.24,66.67,0.78,98.80,17.5,7.7,-29.0
2001-03-05 12:02:00,PIN,5.16,60.57,3.85,99.92,-11.6,-3.3,8.7
2001-03-05 12:02:00,RAN,5.42,72.90,-7.77,97.31,-57.0,9.8,26.4
2001-03-05 12:02:00,TAL,5.04,78.86,-17.14,97.61,2.0,17.5,38.0
2001-03-05 12:03:00,BLC,4.96,73.97,-1.38,98.86,-47.6,1.6,39.9
2001-03-05 12:03:00,BSL,5.84,41.39,0.73,94.49,-27.6,-7.6,5.8
2001-03-05 12:03:00,DLR,4.89,38.99,7.38,104.25,-31.5,-2.1,4.3
2001-03-05 12:03:00,EKP,5.25,71.18,-2.60,98.16,41.3,-16.5,5.8
2001-03-05 12:03:00,FCC,5.29,68.98,-1.09,98.27,-35.5,-8.1,-4.5
2001-03-05 12:03:00,GIM,5.26,66.67,0.78,98.67,22.0,1.6,-26.0
2001-03-05 12:03:00,PIN,5.18,60.57,3.85,99.76,-12.7,-3.5,9.3
2001-03-05 12:03:00,RAN,5.44,72.90,-7.77,97.19,-48.4,5.9,24.0
2001-03-05 12:03:00,TAL,5.06,78.86,-17.14,97.52,0.6,14.4,40.6
2001-03-05 12:04:00,BLC,4.97,73.97,-1.38,98.75,-50.4,1.4,31.9
2001-03-05 12:04:00,BSL,5.86,41.39,0.73,94.28,-27.6,-8.4,4.8
2001-03-05 12:04:00,DLR,4.91,38.99,7.38,104.03,-31.4,-3.0,3.3
2001-03-05 12:04:00,EKP,5.27,71.18,-2.60,98.04,42.2,-15.8,11.0
2001-03-05 12:04:00,FCC,5.31,68.98,-1.09,98.14,-27.5,-8.1,-23.4
2001-03-05 12:04:00,GIM,5.28,66.67,0.78,98.53,21.1,2.2,-19.3
2001-03-05 12:04:00,PIN,5.20,60.57,3.85,99.60,-12.7,-3.9,10.6
2001-03-05 12:04:00,RAN,5.46,72.90,-7.77,97.08,-44.6,3.7,18.6
2001-03-05 12:04:00,TAL,5.08,78.86,-17.14,97.44,-5.4,14.8,42.7
2001-03-05 12:05:00,BLC,4.99,73.97,-1.38,98.64,-60.0,-2.9,28.9
2001-03-05 12:05:00,BSL,5.87,41.39,0.73,94.06,-27.5,-8.5,4.8
2001-03-05 12:05:00,DLR,4.93,38.99,7.38,103.81,-31.4,-3.8,3.3
2001-03-05 12:05:00,EKP,5.29,71.18,-2.60,97.92,33.8,-14.8,12.9
2001-03-05 12:05:00,FCC,5.32,68.98,-1.09,98.01,-16.5,-10.0,-34.4
2001-03-05 12:05:00,GIM,5.29,66.67,0.78,98.39,15.7,2.9,-15.5
2001-03-05 12:05:00,PIN,5.22,60.57,3.85,99.44,-13.9,-5.8,10.0
2001-03-05 12:05:00,RAN,5.48,72.90,-7.77,96.96,-45.2,0.1,15.0
2001-03-05 12:05:00,TAL,5.09,78.86,-17.14,97.35,-5.2,15.9,40.8
2001-03-05 12:06:00,BLC,5.01,73.97,-1.38,98.53,-61.6,-8.0,27.8
2001-03-05 12:06:00,BSL,5.89,41.39,0.73,93.84,-27.5,-9.3,4.8
2001-03-05 12:06:00,DLR,4.94,38.99,7.38,103.59,-31.4,-4.6,3.3
2001-03-05 12:06:00,EKP,5.30,71.18,-2.60,97.79,25.4,-15.5,15.9
2001-03-05 12:06:00,FCC,5.34,68.98,-1.09,97.88,-9.5,-15.9,-30.3
2001-03-05 12:06:00,GIM,5.31,66.67,0.78,98.25,6.1,-4.4,-10.8
2001-03-05 12:06:00,PIN,5.23,60.57,3.85,99.28,-16.2,-8.8,8.9
2001-03-05 12:06:00,RAN,5.49,72.90,-7.77,96.85,-42.6,-2.5,17.6
2001-03-05 12:06:00,TAL,5.11,78.86,-17.14,97.26,0.2,16.0,41.7
2001-03-05 12:07:00,BLC,5.02,73.97,-1.38,98.42,-52.3,-11.8,21.8
2001-03-05 12:07:00,BSL,5.91,41.39,0.73,93.63,-27.4,-8.7,4.9
2001-03-05 12:07:00,DLR,4.96,38.99,7.38,103.38,-31.3,-5.4,3.3
2001-03-05 12:07:00,EKP,5.32,71.18,-2.60,97.67,23.3,-18.4,19.4
2001-03-05 12:07:00,FCC,5.36,68.98,-1.09,97.75,-8.4,-24.0,-15.2
2001-03-05 12:07:00,GIM,5.33,66.67,0.78,98.11,-9.9,-13.2,-3.1
2001-03-05 12:07:00,PIN,5.25,60.57,3.85,99.12,-19.0,-11.4,7.3
2001-03-05 12:07:00,RAN,5.51,72.90,-7.77,96.73,-33.1,-6.0,26.4
2001-03-05 12:07:00,TAL,5.13,78.86,-17.14,97.17,7.0,15.2,43.9
2001-03-05 12:08:00,BLC,5.04,73.97,-1.38,98.32,-41.1,-8.5,17.7
2001-03-05 12:08:00,BSL,5.93,41.39,0.73,93.41,-27.4,-8.8,4.9
2001-03-05 12:08:00,DLR,4.98,38.99,7.38,103.16,-31.3,-5.4,3.3
2001-03-05 12:08:00,EKP,5.34,71.18,-2.60,97.55,29.9,-22.3,18.5
2001-03-05 12:08:00,FCC,5.37,68.98,-1.09,97.62,-6.4,-29.0,1.8
2001-03-05 12:08:00,GIM,5.35,66.67,0.78,97.97,-22.2,-15.9,2.7
2001-03-05 12:08:00,PIN,5.27,60.57,3.85,98.96,-21.3,-12.9,6.6
2001-03-05 12:08:00,RAN,5.53,72.90,-7.77,96.62,-25.9,-7.4,28.8
2001-03-05 12:08:00,TAL,5.14,78.86,-17.14,97.09,8.7,16.8,43.9
2001-03-05 12:09:00,BLC,5.06,73.97,-1.38,98.21,-30.8,-8.3,16.7
2001-03-05 12:09:00,BSL,5.94,41.39,0.73,93.20,-27.3,-7.5,5.9
2001-03-05 12:09:00,DLR,4.99,38.99,7.38,102.94,-32.2,-5.5,4.3
2001-03-05 12:09:00,EKP,5.36,71.18,-2.60,97.43,44.0,-26.5,17.5
2001-03-05 12:09:00,FCC,5.39,68.98,-1.09,97.49,-7.4,-30.1,17.9
2001-03-05 12:09:00,GIM,5.36,66.67,0.78,97.83,-33.0,-14.4,8.8
2001-03-05 12:09:00,PIN,5.28,60.57,3.85,98.80,-23.7,-12.1,6.8
2001-03-05 12:09:00,RAN,5.54,72.90,-7.77,96.51,-16.5,-8.5,26.0
2001-03-05 12:09:00,TAL,5.16,78.86,-17.14,97.00,15.8,17.1,40.9
2001-03-05 12:10:00,BLC,5.08,73.97,-1.38,98.10,-25.4,-14.2,19.7
2001-03-05 12:10:00,BSL,5.96,41.39,0.73,92.98,-27.3,-6.3,5.9
2001-03-05 12:10:00,DLR,5.01,38.99,7.38,102.72,-32.2,-4.8,4.3
2001-03-05 12:10:00,EKP,5.37,71.18,-2.60,97.31,44.9,-28.2,23.6
