Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
1998-02-02 00:00:00,BLC,16.55,74.15,-0.80,101.21,-16.3,1.6,4.7
1998-02-02 00:00:00,BSL,17.46,41.48,1.09,95.93,-6.3,2.1,1.2
1998-02-02 00:00:00,DLR,16.51,39.04,7.66,86.40,-9.8,4.3,0.7
1998-02-02 00:00:00,EKP,16.86,71.36,-2.22,101.24,-23.1,1.8,-0.9
1998-02-02 00:00:00,FCC,16.89,69.16,-0.68,100.62,-3.7,-4.8,-3.7
1998-02-02 00:00:00,GIM,16.87,66.84,1.22,99.69,3.0,4.8,8.4
1998-02-02 00:00:00,PIN,16.79,60.71,4.30,97.07,-17.1,-0.8,2.8
1998-02-02 00:00:00,RAN,17.04,73.09,-7.70,102.53,-14.7,2.2,-3.2
1998-02-02 00:00:00,TAL,16.64,79.06,-17.91,103.43,-25.3,-9.2,3.9
1998-02-02 00:01:00,BLC,16.57,74.15,-0.80,101.32,-21.3,-3.5,3.7
1998-02-02 00:01:00,BSL,17.47,41.48,1.09,96.14,-5.3,2.8,1.2
1998-02-02 00:01:00,DLR,16.53,39.04,7.66,86.60,-8.8,4.3,1.7
1998-02-02 00:01:00,EKP,16.87,71.36,-2.22,101.36,-22.2,-0.9,-8.1
1998-02-02 00:01:00,FCC,16.91,69.16,-0.68,100.75,1.3,-3.8,-4.5
1998-02-02 00:01:00,GIM,16.88,66.84,1.22,99.82,10.0,8.3,4.9
1998-02-02 00:01:00,PIN,16.81,60.71,4.30,97.23,-15.2,-0.0,3.2
1998-02-02 00:01:00,RAN,17.06,73.09,-7.70,102.64,-17.5,-3.4,-5.3
1998-02-02 00:01:00,TAL,16.66,79.06,-17.91,103.52,-24.1,-12.5,5.5
1998-02-02 00:02:00,BLC,16.58,74.15,-0.80,101.42,-22.2,-6.5,-0.3
1998-02-02 00:02:00,BSL,17.49,41.48,1.09,96.34,-5.3,2.7,1.2
1998-02-02 00:02:00,DLR,16.54,39.04,7.66,86.80,-9.8,4.2,1.6
1998-02-02 00:02:00,EKP,16.89,71.36,-2.22,101.47,-17.8,-1.0,-13.8
1998-02-02 00:02:00,FCC,16.93,69.16,-0.68,100.87,7.2,-1.3,-6.3
1998-02-02 00:02:00,GIM,16.90,66.84,1.22,99.95,18.3,11.0,2.7
1998-02-02 00:02:00,PIN,16.82,60.71,4.30,97.38,-15.3,0.4,3.5
1998-02-02 00:02:00,RAN,17.07,73.09,-7.70,102.76,-17.7,-6.6,-9.6
1998-02-02 00:02:00,TAL,16.67,79.06,-17.91,103.60,-22.9,-15.6,6.7
1998-02-02 00:03:00,BLC,16.60,74.15,-0.80,101.53,-20.2,-5.5,-5.3
1998-02-02 00:03:00,BSL,17.51,41.48,1.09,96.55,-6.4,2.7,1.1
1998-02-02 00:03:00,DLR,16.56,39.04,7.66,87.01,-9.9,4.2,0.6
1998-02-02 00:03:00,EKP,16.90,71.36,-2.22,101.59,-11.6,1.4,-16.9
1998-02-02 00:03:00,FCC,16.94,69.16,-0.68,101.00,11.9,0.2,-6.1
1998-02-02 00:03:00,GIM,16.92,66.84,1.22,100.09,18.3,9.1,5.5
1998-02-02 00:03:00,PIN,16.84,60.71,4.30,97.53,-16.6,-0.3,3.3
1998-02-02 00:03:00,RAN,17.09,73.09,-7.70,102.87,-15.1,-6.1,-14.3
1998-02-02 00:03:00,TAL,16.69,79.06,-17.91,103.69,-23.0,-16.8,7.5
1998-02-02 00:04:00,BLC,16.62,74.15,-0.80,101.63,-14.3,-2.4,-9.3
1998-02-02 00:04:00,BSL,17.52,41.48,1.09,96.76,-6.4,1.9,1.1
1998-02-02 00:04:00,DLR,16.58,39.04,7.66,87.21,-9.9,3.4,0.6
1998-02-02 00:04:00,EKP,16.92,71.36,-2.22,101.71,-4.5,4.6,-13.6
1998-02-02 00:04:00,FCC,16.96,69.16,-0.68,101.12,12.1,-0.7,-0.4
1998-02-02 00:04:00,GIM,16.93,66.84,1.22,100.22,8.4,3.6,10.5
1998-02-02 00:04:00,PIN,16.86,60.71,4.30,97.68,-17.6,-1.5,2.5
1998-02-02 00:04:00,RAN,17.11,73.09,-7.70,102.98,-8.7,-2.1,-17.4
1998-02-02 00:04:00,TAL,16.71,79.06,-17.91,103.77,-23.4,-16.8,7.3
1998-02-02 00:05:00,BLC,16.63,74.15,-0.80,101.74,-6.3,1.7,-12.3
1998-02-02 00:05:00,BSL,17.54,41.48,1.09,96.97,-6.4,1.9,1.1
1998-02-02 00:05:00,DLR,16.59,39.04,7.66,87.41,-9.9,3.4,0.6
1998-02-02 00:05:00,EKP,16.94,71.36,-2.22,101.83,-0.8,6.4,-6.8
1998-02-02 00:05:00,FCC,16.97,69.16,-0.68,101.25,8.0,-2.1,5.2
1998-02-02 00:05:00,GIM,16.95,66.84,1.22,100.35,0.9,0.7,11.9
1998-02-02 00:05:00,PIN,16.87,60.71,4.30,97.84,-17.5,-2.1,2.0
