Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
2001-03-08 09:00:00,ABK,10.82,65.22,5.10,75.87,-5.9,-5.6,4.9
2001-03-08 09:00:00,ALE,10.59,87.19,-67.46,97.35,-36.8,29.2,-8.4
2001-03-08 09:00:00,AND,10.73,66.37,3.50,77.20,-0.9,-9.0,5.7
2001-03-08 09:00:00,BJN,11.25,71.50,6.06,81.18,29.7,-8.7,13.0
2001-03-08 09:00:00,BOR,11.59,54.00,10.46,63.28,-2.3,-4.1,3.0
2001-03-08 09:00:00,HAN,11.01,58.58,7.85,69.01,-4.9,-6.5,0.5
2001-03-08 09:00:00,HRN,11.34,74.18,3.49,83.78,55.0,11.5,34.1
2001-03-08 09:00:00,ISK,10.81,35.84,3.96,48.94,5.5,0.4,0.8
2001-03-08 09:00:00,KEV,11.32,66.31,10.22,75.88,-0.9,-5.3,7.3
2001-03-08 09:00:00,KIL,10.96,65.82,6.37,76.11,-5.6,-4.7,1.9
2001-03-08 09:00:00,KIR,10.88,64.61,5.96,75.13,-5.1,-5.6,2.5
2001-03-08 09:00:00,LOZ,11.67,64.22,13.94,73.31,-3.9,1.0,4.9
2001-03-08 09:00:00,LYR,11.50,75.31,3.63,84.77,67.6,2.4,17.0
2001-03-08 09:00:00,MAS,11.13,66.14,8.19,76.05,-2.0,-6.7,-6.8
2001-03-08 09:00:00,MUO,11.05,64.65,7.77,74.77,-7.8,-9.6,3.3
2001-03-08 09:00:00,NAL,11.44,76.25,0.48,85.80,83.1,18.5,6.1
2001-03-08 09:00:00,NRD,11.00,81.10,-24.76,91.13,-14.2,49.2,-15.9
2001-03-08 09:00:00,NUR,10.85,56.76,6.55,67.75,-5.5,-4.0,0.1
2001-03-08 09:00:00,OUJ,11.12,60.88,8.76,70.97,-4.8,-6.7,1.6
2001-03-08 09:00:00,OUL,11.06,61.52,8.26,71.73,-5.0,-0.4,-3.0
2001-03-08 09:00:00,PEL,11.03,63.47,7.81,73.67,-2.1,-2.2,7.6
2001-03-08 09:00:00,SOD,11.19,63.86,9.31,73.71,-5.1,-5.5,3.1
2001-03-08 09:00:00,TAR,10.90,54.39,6.70,65.33,-38.2,51.0,39.5
2001-03-08 09:00:00,TRO,10.90,66.58,5.34,76.99,-5.0,-3.4,2.5
2001-03-08 09:01:00,ABK,10.84,65.22,5.10,75.82,-6.9,-6.3,3.9
2001-03-08 09:01:00,ALE,10.61,87.19,-67.46,97.32,-43.3,28.9,-10.4
2001-03-08 09:01:00,AND,10.75,66.37,3.50,77.15,-0.2,-10.8,6.0
2001-03-08 09:01:00,BJN,11.27,71.50,6.06,81.14,29.5,-13.5,20.1
2001-03-08 09:01:00,BOR,11.61,54.00,10.46,63.26,-1.4,-4.7,3.0
2001-03-08 09:01:00,HAN,11.03,58.58,7.85,68.96,-3.3,-7.9,0.6
2001-03-08 09:01:00,HRN,11.35,74.18,3.49,83.75,59.3,-1.4,30.5
2001-03-08 09:01:00,ISK,10.83,35.84,3.96,48.86,6.2,-0.1,-0.1
2001-03-08 09:01:00,KEV,11.34,66.31,10.22,75.85,-2.0,-7.5,7.4
2001-03-08 09:01:00,KIL,10.98,65.82,6.37,76.07,-5.6,-7.1,2.0
2001-03-08 09:01:00,KIR,10.90,64.61,5.96,75.09,-4.3,-7.9,2.2
2001-03-08 09:01:00,LOZ,11.69,64.22,13.94,73.29,-4.3,-0.8,5.5
2001-03-08 09:01:00,LYR,11.52,75.31,3.63,84.74,71.0,-13.0,4.7
2001-03-08 09:01:00,MAS,11.15,66.14,8.19,76.01,-3.4,-10.0,-9.1
2001-03-08 09:01:00,MUO,11.07,64.65,7.77,74.73,-8.2,-12.2,3.8
2001-03-08 09:01:00,NAL,11.46,76.25,0.48,85.77,79.3,7.6,-18.6
2001-03-08 09:01:00,NRD,11.01,81.10,-24.76,91.10,-14.9,53.2,-22.3
2001-03-08 09:01:00,NUR,10.87,56.76,6.55,67.69,-5.4,-3.8,0.2
2001-03-08 09:01:00,OUJ,11.13,60.88,8.76,70.93,-3.7,-8.7,0.9
2001-03-08 09:01:00,OUL,11.08,61.52,8.26,71.69,-5.5,-0.9,-3.6
2001-03-08 09:01:00,PEL,11.05,63.47,7.81,73.62,-2.3,-4.6,7.4
2001-03-08 09:01:00,SOD,11.21,63.86,9.31,73.67,-6.2,-6.2,3.1
2001-03-08 09:01:00,TAR,10.92,54.39,6.70,65.27,-45.0,51.3,41.4
2001-03-08 09:01:00,TRO,10.92,66.58,5.34,76.94,-4.9,-6.8,2.9
2001-03-08 09:02:00,ABK,10.86,65.22,5.10,75.78,-4.3,-11.5,2.9
2001-03-08 09:02:00,ALE,10.62,87.19,-67.46,97.28,-45.2,32.1,-10.4
2001-03-08 09:02:00,AND,10.76,66.37,3.50,77.11,4.5,-16.4,0.9
2001-03-08 09:02:00,BJN,11.28,71.50,6.06,81.11,18.8,-20.3,22.2
2001-03-08 09:02:00,BOR,11.62,54.00,10.46,63.23,-0.1,-6.9,3.2
2001-03-08 09:02:00,HAN,11.05,58.58,7.85,68.92,-2.5,-10.2,1.1
2001-03-08 09:02:00,HRN,11.37,74.18,3.49,83.72,53.3,-11.4,22.1
2001-03-08 09:02:00,ISK,10.85,35.84,3.96,48.78,4.6,-1.2,-0.5
2001-03-08 09:02:00,KEV,11.35,66.31,10.22,75.81,-0.7,-12.5,6.9
2001-03-08 09:02:00,KIL,10.99,65.82,6.37,76.03,-2.5,-13.1,1.7
2001-03-08 09:02:00,KIR,10.92,64.61,5.96,75.04,-0.2,-11.7,1.2
2001-03-08 09:02:00,LOZ,11.71,64.22,13.94,73.27,-2.4,-4.0,5.7
2001-03-08 09:02:00,LYR,11.53,75.31,3.63,84.72,68.3,-21.0,-3.7
2001-03-08 09:02:00,MAS,11.17,66.14,8.19,75.98,-2.3,-16.1,-12.3
2001-03-08 09:02:00,MUO,11.09,64.65,7.77,74.69,-5.6,-16.9,4.0
2001-03-08 09:02:00,NAL,11.48,76.25,0.48,85.74,73.4,-2.9,-32.8
2001-03-08 09:02:00,NRD,11.03,81.10,-24.76,91.07,-19.2,47.7,-23.4
2001-03-08 09:02:00,NUR,10.89,56.76,6.55,67.64,-3.6,-6.8,0.2
2001-03-08 09:02:00,OUJ,11.15,60.88,8.76,70.89,-1.2,-12.0,0.7
2001-03-08 09:02:00,OUL,11.09,61.52,8.26,71.65,-3.1,-4.7,-4.7
2001-03-08 09:02:00,PEL,11.07,63.47,7.81,73.58,0.5,-9.3,6.7
2001-03-08 09:02:00,SOD,11.22,63.86,9.31,73.63,-4.8,-10.3,2.1
2001-03-08 09:02:00,TAR,10.93,54.39,6.70,65.22,-56.0,45.9,45.6
2001-03-08 09:02:00,TRO,10.93,66.58,5.34,76.90,-2.0,-14.2,0.7
2001-03-08 09:03:00,ABK,10.87,65.22,5.10,75.73,0.5,-15.8,2.9
2001-03-08 09:03:00,ALE,10.64,87.19,-67.46,97.25,-46.0,32.6,-10.3
2001-03-08 09:03:00,AND,10.78,66.37,3.50,77.06,7.0,-16.7,-4.6
2001-03-08 09:03:00,BJN,11.30,71.50,6.06,81.08,17.2,-21.8,16.8
2001-03-08 09:03:00,BOR,11.64,54.00,10.46,63.21,0.1,-7.3,3.5
2001-03-08 09:03:00,HAN,11.06,58.58,7.85,68.88,-2.5,-9.9,1.0
2001-03-08 09:03:00,HRN,11.39,74.18,3.49,83.69,50.0,-17.5,15.6
2001-03-08 09:03:00,ISK,10.86,35.84,3.96,48.70,5.1,-1.7,-0.6
2001-03-08 09:03:00,KEV,11.37,66.31,10.22,75.78,2.2,-13.6,5.7
2001-03-08 09:03:00,KIL,11.01,65.82,6.37,75.99,0.3,-13.7,0.2
2001-03-08 09:03:00,KIR,10.93,64.61,5.96,75.00,2.8,-11.0,-0.1
2001-03-08 09:03:00,LOZ,11.72,64.22,13.94,73.25,-1.5,-4.4,6.0
2001-03-08 09:03:00,LYR,11.55,75.31,3.63,84.69,67.0,-25.5,-11.6
2001-03-08 09:03:00,MAS,11.18,66.14,8.19,75.94,1.4,-16.3,-12.2
2001-03-08 09:03:00,MUO,11.10,64.65,7.77,74.65,-2.7,-17.2,3.3
2001-03-08 09:03:00,NAL,11.49,76.25,0.48,85.71,66.3,-6.4,-42.6
2001-03-08 09:03:00,NRD,11.04,81.10,-24.76,91.04,-19.6,42.6,-20.8
2001-03-08 09:03:00,NUR,10.90,56.76,6.55,67.59,-3.6,-7.6,0.3
2001-03-08 09:03:00,OUJ,11.16,60.88,8.76,70.85,-1.2,-11.6,1.1
2001-03-08 09:03:00,OUL,11.11,61.52,8.26,71.61,-1.4,-6.8,-4.3
2001-03-08 09:03:00,PEL,11.08,63.47,7.81,73.54,2.8,-9.1,7.2
2001-03-08 09:03:00,SOD,11.24,63.86,9.31,73.60,-2.2,-13.6,1.1
2001-03-08 09:03:00,TAR,10.95,54.39,6.70,65.17,-66.9,45.3,46.7
2001-03-08 09:03:00,TRO,10.95,66.58,5.34,76.86,0.2,-13.1,-1.6
2001-03-08 09:04:00,ABK,10.89,65.22,5.10,75.69,1.0,-11.7,1.9
2001-03-08 09:04:00,ALE,10.66,87.19,-67.46,97.22,-44.1,31.9,-8.3
