Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
2001-03-05 18:30:00,DIK,23.95,68.74,30.34,112.20,13.7,3.3,21.0
2001-03-05 18:31:00,DIK,23.97,68.74,30.34,112.21,19.8,1.6,20.9
2001-03-05 18:32:00,DIK,23.98,68.74,30.34,112.21,23.9,-1.8,20.9
2001-03-05 18:33:00,DIK,0.00,68.74,30.34,112.22,24.0,-5.2,20.8
2001-03-05 18:34:00,DIK,0.02,68.74,30.34,112.22,20.0,-3.6,20.7
2001-03-05 18:35:00,DIK,0.03,68.74,30.34,112.23,14.1,3.1,20.7
2001-03-05 18:36:00,DIK,0.05,68.74,30.34,112.23,12.2,6.4,20.6
2001-03-05 18:37:00,DIK,0.07,68.74,30.34,112.24,11.3,6.3,20.6
2001-03-05 18:38:00,DIK,0.08,68.74,30.34,112.24,12.3,2.9,20.5
2001-03-05 18:39:00,DIK,0.10,68.74,30.34,112.24,14.4,-0.5,20.5
2001-03-05 18:40:00,DIK,0.12,68.74,30.34,112.25,16.5,-3.9,20.4
2001-03-05 18:41:00,DIK,0.13,68.74,30.34,112.25,16.6,-2.3,20.4
2001-03-05 18:42:00,DIK,0.15,68.74,30.34,112.25,15.6,-0.6,20.4
2001-03-05 18:43:00,DIK,0.17,68.74,30.34,112.25,15.7,2.7,19.3
2001-03-05 18:44:00,DIK,0.18,68.74,30.34,112.25,15.8,2.6,19.3
2001-03-05 18:45:00,DIK,0.20,68.74,30.34,112.26,15.8,4.3,19.3
2001-03-05 18:46:00,DIK,0.22,68.74,30.34,112.26,17.9,2.6,19.2
2001-03-05 18:47:00,DIK,0.23,68.74,30.34,112.26,20.0,2.5,19.2
2001-03-05 18:48:00,DIK,0.25,68.74,30.34,112.26,21.0,0.8,19.2
2001-03-05 18:49:00,DIK,0.27,68.74,30.34,112.26,21.1,0.8,19.2
2001-03-05 18:50:00,DIK,0.28,68.74,30.34,112.26,21.2,0.7,19.2
2001-03-05 18:51:00,DIK,0.30,68.74,30.34,112.26,21.2,0.7,18.2
2001-03-05 18:52:00,DIK,0.32,68.74,30.34,112.25,21.3,-2.7,17.2
2001-03-05 18:53:00,DIK,0.33,68.74,30.34,112.25,23.4,-6.1,16.1
2001-03-05 18:54:00,DIK,0.35,68.74,30.34,112.25,25.4,-9.6,15.1
2001-03-05 18:55:00,DIK,0.36,68.74,30.34,112.25,27.5,-11.3,14.1
2001-03-05 18:56:00,DIK,0.38,68.74,30.34,112.25,29.6,-11.3,13.1
2001-03-05 18:57:00,DIK,0.40,68.74,30.34,112.24,31.6,-11.4,12.1
2001-03-05 18:58:00,DIK,0.41,68.74,30.34,112.24,32.7,-9.7,11.1
2001-03-05 18:59:00,DIK,0.43,68.74,30.34,112.24,31.7,-8.1,11.1
2001-03-05 19:00:00,DIK,0.45,68.74,30.34,112.23,29.8,-4.8,11.1
2001-03-05 19:01:00,DIK,0.46,68.74,30.34,112.23,26.8,-1.5,11.2
2001-03-05 19:02:00,DIK,0.48,68.74,30.34,112.23,25.9,-1.5,11.2
2001-03-05 19:03:00,DIK,0.50,68.74,30.34,112.22,23.9,-5.0,11.2
2001-03-05 19:04:00,DIK,0.51,68.74,30.34,112.22,23.0,-6.7,11.2
2001-03-05 19:05:00,DIK,0.53,68.74,30.34,112.21,24.1,-8.4,11.2
2001-03-05 19:06:00,DIK,0.55,68.74,30.34,112.21,26.1,-8.5,12.2
2001-03-05 19:07:00,DIK,0.56,68.74,30.34,112.20,25.2,-6.9,12.3
2001-03-05 19:08:00,DIK,0.58,68.74,30.34,112.19,22.2,-6.9,12.3
2001-03-05 19:09:00,DIK,0.59,68.74,30.34,112.19,17.2,-3.6,12.3
