Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,N,E,Z
2001-04-03 08:00:00,BLC,0.97,73.96,-1.39,18.6,21.3,33.2
2001-04-03 08:00:00,BSL,1.85,41.39,0.72,-6.8,-0.2,7.9
2001-04-03 08:00:00,DLR,0.90,38.98,7.38,-6.8,2.0,8.4
2001-04-03 08:00:00,EKP,1.26,71.17,-2.61,29.0,8.6,35.9
2001-04-03 08:00:00,FCC,1.30,68.97,-1.10,-5.3,2.3,33.5
2001-04-03 08:00:00,GIM,1.27,66.67,0.77,-56.5,-0.9,38.4
2001-04-03 08:00:00,PIN,1.19,60.56,3.84,2.7,-20.5,16.0
2001-04-03 08:00:00,RAN,1.45,72.89,-7.77,2.4,29.5,16.4
2001-04-03 08:00:00,TAL,1.07,78.86,-17.12,19.8,30.7,0.8
2001-04-03 08:01:00,BLC,0.98,73.96,-1.39,19.7,19.1,36.1
2001-04-03 08:01:00,BSL,1.87,41.39,0.72,-6.8,-0.2,7.9
2001-04-03 08:01:00,DLR,0.92,38.98,7.38,-6.8,1.2,8.4
2001-04-03 08:01:00,EKP,1.28,71.17,-2.61,32.2,5.6,39.7
2001-04-03 08:01:00,FCC,1.31,68.97,-1.10,-7.1,0.1,48.4
2001-04-03 08:01:00,GIM,1.29,66.67,0.77,-66.9,-5.2,43.8
2001-04-03 08:01:00,PIN,1.21,60.56,3.84,1.5,-22.0,15.0
2001-04-03 08:01:00,RAN,1.47,72.89,-7.77,4.9,28.3,19.0
2001-04-03 08:01:00,TAL,1.08,78.86,-17.12,20.9,31.5,1.5
2001-04-03 08:02:00,BLC,1.00,73.96,-1.39,18.6,22.8,35.1
2001-04-03 08:02:00,BSL,1.88,41.39,0.72,-6.7,-0.2,7.9
2001-04-03 08:02:00,DLR,0.93,38.98,7.38,-6.8,1.2,7.4
2001-04-03 08:02:00,EKP,1.30,71.17,-2.61,34.2,6.1,35.9
2001-04-03 08:02:00,FCC,1.33,68.97,-1.10,2.1,-0.0,50.3
2001-04-03 08:02:00,GIM,1.30,66.67,0.77,-59.8,-1.9,42.9
2001-04-03 08:02:00,PIN,1.22,60.56,3.84,1.1,-22.0,14.7
