Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
1996-03-01 23:30:00,BLC,16.20,74.25,-0.45,89.43,41.3,19.4,-65.1
1996-03-01 23:30:00,DIK,4.85,68.47,29.87,102.47,2.2,66.4,-6.6
1996-03-01 23:31:00,BLC,16.22,74.25,-0.45,89.54,44.4,18.4,-60.0
1996-03-01 23:31:00,DIK,4.86,68.47,29.87,102.40,7.1,61.6,-6.6
1996-03-01 23:32:00,BLC,16.24,74.25,-0.45,89.64,40.5,17.4,-51.9
1996-03-01 23:32:00,DIK,4.88,68.47,29.87,102.34,11.0,58.5,-7.5
1996-03-01 23:33:00,BLC,16.25,74.25,-0.45,89.74,36.7,16.4,-46.8
1996-03-01 23:33:00,DIK,4.90,68.47,29.87,102.27,15.9,55.3,-7.5
1996-03-01 23:34:00,BLC,16.27,74.25,-0.45,89.84,33.8,14.4,-52.7
1996-03-01 23:34:00,DIK,4.91,68.47,29.87,102.20,18.8,48.8,-7.4
1996-03-01 23:35:00,BLC,16.28,74.25,-0.45,89.95,31.0,9.4,-51.6
1996-03-01 23:35:00,DIK,4.93,68.47,29.87,102.13,19.7,43.9,-7.4
1996-03-01 23:36:00,BLC,16.30,74.25,-0.45,90.05,30.1,9.5,-46.5
1996-03-01 23:36:00,DIK,4.95,68.47,29.87,102.06,22.7,39.0,-7.3
1996-03-01 23:37:00,BLC,16.32,74.25,-0.45,90.16,32.3,7.5,-41.3
1996-03-01 23:37:00,DIK,4.96,68.47,29.87,101.99,28.6,34.2,-6.3
1996-03-01 23:38:00,BLC,16.33,74.25,-0.45,90.26,31.4,7.5,-38.2
1996-03-01 23:38:00,DIK,4.98,68.47,29.87,101.93,32.5,32.6,-6.3
1996-03-01 23:39:00,BLC,16.35,74.25,-0.45,90.36,29.5,8.6,-37.1
1996-03-01 23:39:00,DIK,4.99,68.47,29.87,101.86,33.3,31.1,-5.2
1996-03-01 23:40:00,BLC,16.37,74.25,-0.45,90.47,31.6,12.6,-31.0
1996-03-01 23:40:00,DIK,5.01,68.47,29.87,101.79,34.2,29.6,-4.2
1996-03-01 23:41:00,BLC,16.38,74.25,-0.45,90.57,33.7,13.7,-27.8
1996-03-01 23:41:00,DIK,5.03,68.47,29.87,101.72,33.1,26.3,-3.2
1996-03-01 23:42:00,BLC,16.40,74.25,-0.45,90.68,31.8,14.7,-25.7
1996-03-01 23:42:00,DIK,5.04,68.47,29.87,101.65,32.0,24.8,-3.1
1996-03-01 23:43:00,BLC,16.41,74.25,-0.45,90.78,26.0,11.7,-26.6
1996-03-01 23:43:00,DIK,5.06,68.47,29.87,101.58,33.9,23.2,-3.1
1996-03-01 23:44:00,BLC,16.43,74.25,-0.45,90.88,22.1,9.7,-28.4
1996-03-01 23:44:00,DIK,5.08,68.47,29.87,101.51,31.8,23.3,-2.0
1996-03-01 23:45:00,BLC,16.45,74.25,-0.45,90.99,19.3,6.7,-27.3
1996-03-01 23:45:00,DIK,5.09,68.47,29.87,101.44,30.7,21.7,-2.0
1996-03-01 23:46:00,BLC,16.46,74.25,-0.45,91.09,18.4,2.7,-25.1
1996-03-01 23:46:00,DIK,5.11,68.47,29.87,101.38,32.7,18.5,-1.0
1996-03-01 23:47:00,BLC,16.48,74.25,-0.45,91.20,18.5,4.7,-24.0
1996-03-01 23:47:00,DIK,5.13,68.47,29.87,101.31,35.6,15.2,-0.9
1996-03-01 23:48:00,BLC,16.50,74.25,-0.45,91.30,19.7,3.8,-26.8
1996-03-01 23:48:00,DIK,5.14,68.47,29.87,101.24,36.5,12.0,0.1
1996-03-01 23:49:00,BLC,16.51,74.25,-0.45,91.41,22.8,0.9,-28.7
1996-03-01 23:49:00,DIK,5.16,68.47,29.87,101.17,36.4,10.4,0.1
1996-03-01 23:50:00,BLC,16.53,74.25,-0.45,91.51,26.0,-2.1,-29.5
1996-03-01 23:50:00,DIK,5.17,68.47,29.87,101.10,36.3,12.2,1.2
