Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
2001-03-05 12:00:00,AND,13.77,66.37,3.50,75.76,3.1,10.1,38.1
2001-03-05 12:00:00,DIK,17.49,68.74,30.34,92.23,7.3,8.9,8.7
2001-03-05 12:00:00,FSP,2.60,67.47,26.39,110.78,-42.5,31.1,-10.5
2001-03-05 12:00:00,HLL,11.60,64.26,-17.73,71.89,-15.3,-6.4,38.6
2001-03-05 12:00:00,NAN,8.58,64.49,-27.63,81.34,20.6,-4.5,12.7
2001-03-05 12:00:00,NRD,14.04,81.10,-24.76,88.00,27.8,4.4,58.8
2001-03-05 12:00:00,RES,4.37,83.23,-38.83,97.75,-10.3,-12.8,7.8
2001-03-05 12:00:00,TIK,20.25,66.07,-17.53,106.45,-5.2,-6.6,20.1
2001-03-05 12:01:00,AND,13.79,66.37,3.50,75.78,3.2,10.8,37.9
2001-03-05 12:01:00,DIK,17.51,68.74,30.34,92.30,2.3,8.9,8.7
2001-03-05 12:01:00,FSP,2.62,67.47,26.39,110.67,-18.6,25.3,-29.0
2001-03-05 12:01:00,HLL,11.62,64.26,-17.73,71.84,-9.4,-8.0,39.3
2001-03-05 12:01:00,NAN,8.59,64.49,-27.63,81.22,29.1,0.4,13.9
2001-03-05 12:01:00,NRD,14.06,81.10,-24.76,87.98,34.4,5.8,52.1
2001-03-05 12:01:00,RES,4.39,83.23,-38.83,97.69,-12.2,-16.7,6.8
2001-03-05 12:01:00,TIK,20.27,66.07,-17.53,106.51,-5.3,-8.9,19.7
2001-03-05 12:02:00,AND,13.81,66.37,3.50,75.80,3.3,8.0,38.1
2001-03-05 12:02:00,DIK,17.52,68.74,30.34,92.36,-2.8,7.2,8.7
2001-03-05 12:02:00,FSP,2.64,67.47,26.39,110.57,7.2,19.5,-31.9
2001-03-05 12:02:00,HLL,11.64,64.26,-17.73,71.79,-9.5,-4.7,39.4
2001-03-05 12:02:00,NAN,8.61,64.49,-27.63,81.09,24.0,4.9,14.2
2001-03-05 12:02:00,NRD,14.07,81.10,-24.76,87.97,39.3,8.2,45.0
2001-03-05 12:02:00,RES,4.41,83.23,-38.83,97.62,-10.4,-15.5,10.8
2001-03-05 12:02:00,TIK,20.28,66.07,-17.53,106.58,-6.2,-12.1,22.5
2001-03-05 12:03:00,AND,13.82,66.37,3.50,75.83,8.4,3.8,31.7
2001-03-05 12:03:00,DIK,17.54,68.74,30.34,92.43,-6.8,5.5,9.8
2001-03-05 12:03:00,FSP,2.65,67.47,26.39,110.46,24.3,12.6,-22.2
2001-03-05 12:03:00,HLL,11.65,64.26,-17.73,71.75,-3.0,-5.0,39.4
2001-03-05 12:03:00,NAN,8.63,64.49,-27.63,80.97,24.9,10.1,11.3
2001-03-05 12:03:00,NRD,14.09,81.10,-24.76,87.96,32.5,7.3,44.4
2001-03-05 12:03:00,RES,4.43,83.23,-38.83,97.56,-4.5,-11.5,13.8
2001-03-05 12:03:00,TIK,20.30,66.07,-17.53,106.64,-8.7,-15.1,25.0
2001-03-05 12:04:00,AND,13.84,66.37,3.50,75.85,18.0,3.1,20.5
2001-03-05 12:04:00,DIK,17.56,68.74,30.34,92.50,-7.9,3.8,10.8
2001-03-05 12:04:00,FSP,2.67,67.47,26.39,110.36,22.4,10.1,-6.1
2001-03-05 12:04:00,HLL,11.67,64.26,-17.73,71.70,6.8,-7.5,41.2
2001-03-05 12:04:00,NAN,8.65,64.49,-27.63,80.84,35.6,11.7,13.8
2001-03-05 12:04:00,NRD,14.11,81.10,-24.76,87.95,19.9,3.0,46.0
2001-03-05 12:04:00,RES,4.44,83.23,-38.83,97.49,1.3,-7.4,16.8
2001-03-05 12:04:00,TIK,20.32,66.07,-17.53,106.71,-10.2,-16.3,25.2
2001-03-05 12:05:00,AND,13.86,66.37,3.50,75.87,28.0,1.7,8.0
2001-03-05 12:05:00,DIK,17.58,68.74,30.34,92.57,-1.0,2.1,10.9
2001-03-05 12:05:00,FSP,2.69,67.47,26.39,110.25,6.2,10.7,10.0
2001-03-05 12:05:00,HLL,11.69,64.26,-17.73,71.66,7.1,-4.8,42.1
2001-03-05 12:05:00,NAN,8.66,64.49,-27.63,80.72,23.2,9.2,15.5
2001-03-05 12:05:00,NRD,14.12,81.10,-24.76,87.94,3.1,6.3,37.2
2001-03-05 12:05:00,RES,4.46,83.23,-38.83,97.42,9.3,0.5,21.8
2001-03-05 12:05:00,TIK,20.33,66.07,-17.53,106.77,-12.1,-18.9,24.7
2001-03-05 12:06:00,AND,13.88,66.37,3.50,75.89,29.4,-0.8,7.5
2001-03-05 12:06:00,DIK,17.59,68.74,30.34,92.64,14.0,0.4,11.9
2001-03-05 12:06:00,FSP,2.70,67.47,26.39,110.14,-17.8,11.2,18.6
