Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
2001-03-05 12:00:00,AQU,12.91,36.64,1.53,49.23,-15.4,14.7,10.8
2001-03-05 12:00:00,DIK,17.49,68.74,30.34,92.23,7.3,8.9,8.7
2001-03-05 12:00:00,DLR,4.84,38.99,7.38,104.90,-29.6,-0.5,4.3
2001-03-05 12:00:00,EWA,1.08,21.42,10.12,155.91,-37.0,4.9,2.3
2001-03-05 12:00:00,HTY,21.18,26.19,-6.03,131.67,-33.1,-7.0,9.8
2001-03-05 12:00:00,IRT,18.91,47.43,-2.56,101.76,-29.3,2.5,5.4
2001-03-05 12:00:00,NRD,14.04,81.10,-24.76,88.00,27.8,4.4,58.8
2001-03-05 12:00:00,PKR,0.72,65.57,24.78,117.19,-16.8,16.0,-24.2
2001-03-05 12:00:00,RES,4.37,83.23,-38.83,97.75,-10.3,-12.8,7.8
2001-03-05 12:00:00,TIK,20.25,66.07,-17.53,106.45,-5.2,-6.6,20.1
2001-03-05 12:01:00,AQU,12.93,36.64,1.53,49.27,-15.4,14.8,10.7
2001-03-05 12:01:00,DIK,17.51,68.74,30.34,92.30,2.3,8.9,8.7
2001-03-05 12:01:00,DLR,4.86,38.99,7.38,104.68,-29.6,-1.3,4.3
2001-03-05 12:01:00,EWA,1.09,21.42,10.12,155.72,-37.2,5.0,2.3
2001-03-05 12:01:00,HTY,21.19,26.19,-6.03,131.86,-33.1,-7.0,9.7
2001-03-05 12:01:00,IRT,18.92,47.43,-2.56,101.92,-29.3,2.5,5.4
2001-03-05 12:01:00,NRD,14.06,81.10,-24.76,87.98,34.4,5.8,52.1
2001-03-05 12:01:00,PKR,0.74,65.57,24.78,117.13,-8.2,12.7,-26.0
2001-03-05 12:01:00,RES,4.39,83.23,-38.83,97.69,-12.2,-16.7,6.8
2001-03-05 12:01:00,TIK,20.27,66.07,-17.53,106.51,-5.3,-8.9,19.7
2001-03-05 12:02:00,AQU,12.94,36.64,1.53,49.32,-15.5,13.9,10.7
2001-03-05 12:02:00,DIK,17.52,68.74,30.34,92.36,-2.8,7.2,8.7
2001-03-05 12:02:00,DLR,4.88,38.99,7.38,104.46,-30.5,-2.1,4.3
2001-03-05 12:02:00,EWA,1.11,21.42,10.12,155.54,-37.3,5.2,2.2
2001-03-05 12:02:00,HTY,21.21,26.19,-6.03,132.05,-33.1,-7.0,9.7
2001-03-05 12:02:00,IRT,18.94,47.43,-2.56,102.07,-29.3,2.5,5.4
2001-03-05 12:02:00,NRD,14.07,81.10,-24.76,87.97,39.3,8.2,45.0
2001-03-05 12:02:00,PKR,0.75,65.57,24.78,117.07,2.8,3.3,-28.0
2001-03-05 12:02:00,RES,4.41,83.23,-38.83,97.62,-10.4,-15.5,10.8
2001-03-05 12:02:00,TIK,20.28,66.07,-17.53,106.58,-6.2,-12.1,22.5
2001-03-05 12:03:00,AQU,12.96,36.64,1.53,49.36,-14.6,13.9,11.7
2001-03-05 12:03:00,DIK,17.54,68.74,30.34,92.43,-6.8,5.5,9.8
2001-03-05 12:03:00,DLR,4.89,38.99,7.38,104.25,-31.5,-2.1,4.3
2001-03-05 12:03:00,EWA,1.13,21.42,10.12,155.35,-37.4,5.0,2.4
2001-03-05 12:03:00,HTY,21.23,26.19,-6.03,132.24,-34.1,-6.1,9.7
2001-03-05 12:03:00,IRT,18.96,47.43,-2.56,102.22,-28.3,3.0,5.4
2001-03-05 12:03:00,NRD,14.09,81.10,-24.76,87.96,32.5,7.3,44.4
2001-03-05 12:03:00,PKR,0.77,65.57,24.78,117.01,7.2,-1.7,-30.6
2001-03-05 12:03:00,RES,4.43,83.23,-38.83,97.56,-4.5,-11.5,13.8
2001-03-05 12:03:00,TIK,20.30,66.07,-17.53,106.64,-8.7,-15.1,25.0
2001-03-05 12:04:00,AQU,12.98,36.64,1.53,49.41,-13.7,14.0,11.6
