Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
1997-11-05 00:00:00,BLC,17.06,74.16,-0.76,103.22,12.3,0.5,-3.8
1997-11-05 00:00:00,BSL,17.97,41.48,1.11,101.58,-0.1,1.4,-0.4
1997-11-05 00:00:00,DLR,17.03,39.03,7.68,91.89,0.2,-0.1,-1.6
1997-11-05 00:00:00,EKP,17.37,71.37,-2.20,103.66,31.4,-12.5,4.7
1997-11-05 00:00:00,FCC,17.41,69.17,-0.65,103.32,-1.8,-1.8,6.2
1997-11-05 00:00:00,GIM,17.38,66.85,1.26,102.66,-13.1,-6.6,6.2
1997-11-05 00:00:00,PIN,17.30,60.72,4.33,100.72,-3.0,1.4,0.5
1997-11-05 00:00:00,RAN,17.55,73.10,-7.69,104.76,14.2,15.6,-1.2
1997-11-05 00:00:00,TAL,17.15,79.07,-17.98,104.80,10.0,-2.4,-8.3
1997-11-05 00:01:00,BLC,17.08,74.16,-0.76,103.32,11.3,0.5,-2.8
1997-11-05 00:01:00,BSL,17.99,41.48,1.11,101.80,-0.1,1.3,-0.4
1997-11-05 00:01:00,DLR,17.04,39.03,7.68,92.10,0.1,-0.1,-1.6
1997-11-05 00:01:00,EKP,17.38,71.37,-2.20,103.78,30.2,-13.2,5.3
1997-11-05 00:01:00,FCC,17.42,69.17,-0.65,103.45,-1.8,-0.8,5.3
1997-11-05 00:01:00,GIM,17.40,66.85,1.26,102.80,-12.0,-5.4,5.7
1997-11-05 00:01:00,PIN,17.32,60.72,4.33,100.88,-2.9,1.8,0.8
1997-11-05 00:01:00,RAN,17.57,73.10,-7.69,104.88,13.2,15.4,-0.3
1997-11-05 00:01:00,TAL,17.17,79.07,-17.98,104.89,9.5,-1.4,-8.0
1997-11-05 00:02:00,BLC,17.10,74.16,-0.76,103.43,10.3,-0.6,-2.7
1997-11-05 00:02:00,BSL,18.00,41.48,1.11,102.01,-0.2,1.3,-0.4
1997-11-05 00:02:00,DLR,17.06,39.03,7.68,92.31,0.1,-0.2,-0.6
1997-11-05 00:02:00,EKP,17.40,71.37,-2.20,103.90,29.1,-13.5,5.2
1997-11-05 00:02:00,FCC,17.44,69.17,-0.65,103.58,-1.9,-0.8,3.3
1997-11-05 00:02:00,GIM,17.41,66.85,1.26,102.93,-11.6,-4.8,6.3
1997-11-05 00:02:00,PIN,17.34,60.72,4.33,101.03,-3.2,2.0,0.7
1997-11-05 00:02:00,RAN,17.59,73.10,-7.69,104.99,11.6,14.5,0.1
1997-11-05 00:02:00,TAL,17.18,79.07,-17.98,104.98,9.2,-0.4,-7.0
1997-11-05 00:03:00,BLC,17.11,74.16,-0.76,103.54,9.4,-0.6,-1.7
1997-11-05 00:03:00,BSL,18.02,41.48,1.11,102.22,-0.2,1.9,-0.3
1997-11-05 00:03:00,DLR,17.08,39.03,7.68,92.52,1.1,-0.2,-0.7
1997-11-05 00:03:00,EKP,17.42,71.37,-2.20,104.02,29.7,-12.4,4.5
1997-11-05 00:03:00,FCC,17.46,69.17,-0.65,103.71,-1.9,-0.9,4.3
1997-11-05 00:03:00,GIM,17.43,66.85,1.26,103.07,-12.7,-5.6,7.0
1997-11-05 00:03:00,PIN,17.35,60.72,4.33,101.19,-3.0,2.0,0.6
1997-11-05 00:03:00,RAN,17.60,73.10,-7.69,105.10,10.7,13.9,-1.2
1997-11-05 00:03:00,TAL,17.20,79.07,-17.98,105.07,9.5,0.7,-6.4
1997-11-05 00:04:00,BLC,17.13,74.16,-0.76,103.65,8.4,0.4,-2.7
1997-11-05 00:04:00,BSL,18.04,41.48,1.11,102.43,-0.2,1.9,-0.3
1997-11-05 00:04:00,DLR,17.09,39.03,7.68,92.72,1.1,-0.3,-0.7
1997-11-05 00:04:00,EKP,17.43,71.37,-2.20,104.14,30.0,-11.1,4.8
1997-11-05 00:04:00,FCC,17.47,69.17,-0.65,103.84,-1.9,-0.9,5.3
1997-11-05 00:04:00,GIM,17.45,66.85,1.26,103.21,-14.0,-6.0,6.4
1997-11-05 00:04:00,PIN,17.37,60.72,4.33,101.35,-3.1,1.9,0.5
1997-11-05 00:04:00,RAN,17.62,73.10,-7.69,105.22,10.4,13.7,-1.6
1997-11-05 00:04:00,TAL,17.22,79.07,-17.98,105.15,10.1,2.1,-6.2
1997-11-05 00:05:00,BLC,17.15,74.16,-0.76,103.75,8.4,0.4,-2.7
1997-11-05 00:05:00,BSL,18.05,41.48,1.11,102.64,-0.2,1.8,-0.3
1997-11-05 00:05:00,DLR,17.11,39.03,7.68,92.93,1.1,0.4,-0.7
1997-11-05 00:05:00,EKP,17.45,71.37,-2.20,104.26,29.7,-9.7,5.4
1997-11-05 00:05:00,FCC,17.49,69.17,-0.65,103.96,-2.9,0.1,5.3
1997-11-05 00:05:00,GIM,17.46,66.85,1.26,103.35,-14.5,-5.8,6.4
1997-11-05 00:05:00,PIN,17.39,60.72,4.33,101.50,-3.1,2.0,0.5
1997-11-05 00:05:00,RAN,17.64,73.10,-7.69,105.33,9.4,14.3,-2.1
1997-11-05 00:05:00,TAL,17.23,79.07,-17.98,105.24,10.5,3.5,-6.1
1997-11-05 00:06:00,BLC,17.16,74.16,-0.76,103.86,7.4,1.3,-2.7
1997-11-05 00:06:00,BSL,18.07,41.48,1.11,102.86,-0.2,1.8,-0.3
1997-11-05 00:06:00,DLR,17.13,39.03,7.68,93.14,1.1,0.3,-0.7
1997-11-05 00:06:00,EKP,17.47,71.37,-2.20,104.38,29.0,-9.0,6.2
1997-11-05 00:06:00,FCC,17.51,69.17,-0.65,104.09,-4.0,-1.0,5.3
1997-11-05 00:06:00,GIM,17.48,66.85,1.26,103.48,-14.2,-6.0,6.1
1997-11-05 00:06:00,PIN,17.40,60.72,4.33,101.66,-3.1,1.9,0.4
1997-11-05 00:06:00,RAN,17.65,73.10,-7.69,105.45,9.0,15.3,-2.2
1997-11-05 00:06:00,TAL,17.25,79.07,-17.98,105.33,10.6,4.9,-5.5
1997-11-05 00:07:00,BLC,17.18,74.16,-0.76,103.97,6.4,1.3,-2.7
1997-11-05 00:07:00,BSL,18.09,41.48,1.11,103.07,-0.2,1.7,-0.3
1997-11-05 00:07:00,DLR,17.14,39.03,7.68,93.35,1.1,0.3,-0.8
1997-11-05 00:07:00,EKP,17.48,71.37,-2.20,104.50,28.6,-9.3,6.4
1997-11-05 00:07:00,FCC,17.52,69.17,-0.65,104.22,-4.0,-1.0,5.3
1997-11-05 00:07:00,GIM,17.50,66.85,1.26,103.62,-13.8,-5.7,5.4
1997-11-05 00:07:00,PIN,17.42,60.72,4.33,101.82,-2.9,2.1,0.4
1997-11-05 00:07:00,RAN,17.67,73.10,-7.69,105.56,8.7,15.0,-2.1
1997-11-05 00:07:00,TAL,17.27,79.07,-17.98,105.42,10.7,4.4,-4.5
1997-11-05 00:08:00,BLC,17.20,74.16,-0.76,104.08,6.5,0.3,-2.7
1997-11-05 00:08:00,BSL,18.10,41.48,1.11,103.28,-0.2,1.7,-0.3
1997-11-05 00:08:00,DLR,17.16,39.03,7.68,93.56,1.1,0.2,-0.8
1997-11-05 00:08:00,EKP,17.50,71.37,-2.20,104.62,29.0,-9.8,5.8
1997-11-05 00:08:00,FCC,17.54,69.17,-0.65,104.35,-4.0,-1.1,5.3
1997-11-05 00:08:00,GIM,17.51,66.85,1.26,103.76,-13.6,-5.6,5.0
1997-11-05 00:08:00,PIN,17.44,60.72,4.33,101.98,-2.7,2.2,0.4
1997-11-05 00:08:00,RAN,17.69,73.10,-7.69,105.67,8.4,14.0,-2.2
1997-11-05 00:08:00,TAL,17.28,79.07,-17.98,105.50,10.6,2.7,-3.2
1997-11-05 00:09:00,BLC,17.21,74.16,-0.76,104.18,5.5,-1.8,-2.6
1997-11-05 00:09:00,BSL,18.12,41.48,1.11,103.49,-0.2,2.3,-0.3
1997-11-05 00:09:00,DLR,17.18,39.03,7.68,93.77,1.1,0.9,-0.8
1997-11-05 00:09:00,EKP,17.52,71.37,-2.20,104.74,29.7,-9.7,3.0
1997-11-05 00:09:00,FCC,17.56,69.17,-0.65,104.48,-2.0,-1.1,5.3
1997-11-05 00:09:00,GIM,17.53,66.85,1.26,103.90,-11.7,-4.4,3.7
1997-11-05 00:09:00,PIN,17.45,60.72,4.33,102.14,-2.5,2.4,0.5
1997-11-05 00:09:00,RAN,17.70,73.10,-7.69,105.79,6.2,12.0,-2.8
1997-11-05 00:09:00,TAL,17.30,79.07,-17.98,105.59,10.1,1.1,-2.1
1997-11-05 00:10:00,BLC,17.23,74.16,-0.76,104.29,5.6,-2.8,-4.6
1997-11-05 00:10:00,BSL,18.14,41.48,1.11,103.70,-0.2,2.3,-0.3
1997-11-05 00:10:00,DLR,17.19,39.03,7.68,93.98,1.1,0.9,-0.8
1997-11-05 00:10:00,EKP,17.53,71.37,-2.20,104.86,30.9,-8.6,0.2
1997-11-05 00:10:00,FCC,17.57,69.17,-0.65,104.61,-0.1,-0.1,4.3
1997-11-05 00:10:00,GIM,17.55,66.85,1.26,104.03,-10.4,-4.1,4.1
1997-11-05 00:10:00,PIN,17.47,60.72,4.33,102.29,-2.6,2.6,0.6
1997-11-05 00:10:00,RAN,17.72,73.10,-7.69,105.90,5.8,10.4,-4.0
1997-11-05 00:10:00,TAL,17.32,79.07,-17.98,105.68,9.5,-0.3,-1.1
1997-11-05 00:11:00,BLC,17.25,74.16,-0.76,104.40,7.6,-2.8,-5.6
1997-11-05 00:11:00,BSL,18.15,41.48,1.11,103.92,-0.2,2.2,-0.3
1997-11-05 00:11:00,DLR,17.21,39.03,7.68,94.19,1.1,0.8,-0.8
1997-11-05 00:11:00,EKP,17.55,71.37,-2.20,104.98,32.9,-7.8,-0.6
1997-11-05 00:11:00,FCC,17.59,69.17,-0.65,104.74,0.9,-1.1,6.3
1997-11-05 00:11:00,GIM,17.56,66.85,1.26,104.17,-11.0,-5.2,4.9
1997-11-05 00:11:00,PIN,17.49,60.72,4.33,102.45,-2.7,2.3,0.5
1997-11-05 00:11:00,RAN,17.74,73.10,-7.69,106.02,7.5,10.1,-4.8
1997-11-05 00:11:00,TAL,17.33,79.07,-17.98,105.76,9.9,-2.1,-1.5
1997-11-05 00:12:00,BLC,17.26,74.16,-0.76,104.51,9.6,-2.7,-5.6
1997-11-05 00:12:00,BSL,18.17,41.48,1.11,104.13,-0.2,2.2,-0.3
1997-11-05 00:12:00,DLR,17.23,39.03,7.68,94.40,1.1,0.8,-0.8
1997-11-05 00:12:00,EKP,17.57,71.37,-2.20,105.10,34.1,-8.6,0.8
1997-11-05 00:12:00,FCC,17.61,69.17,-0.65,104.87,-0.1,-1.2,7.3
1997-11-05 00:12:00,GIM,17.58,66.85,1.26,104.31,-12.2,-5.8,4.5
1997-11-05 00:12:00,PIN,17.50,60.72,4.33,102.61,-2.8,2.0,0.3
1997-11-05 00:12:00,RAN,17.76,73.10,-7.69,106.13,10.3,9.5,-4.3
1997-11-05 00:12:00,TAL,17.35,79.07,-17.98,105.85,10.0,-2.9,-2.5
1997-11-05 00:13:00,BLC,17.28,74.16,-0.76,104.62,12.6,-3.7,-3.6
1997-11-05 00:13:00,BSL,18.19,41.48,1.11,104.34,-0.2,2.1,-0.3
1997-11-05 00:13:00,DLR,17.24,39.03,7.68,94.61,1.1,0.7,-0.9
1997-11-05 00:13:00,EKP,17.59,71.37,-2.20,105.22,34.0,-9.5,2.0
1997-11-05 00:13:00,FCC,17.62,69.17,-0.65,105.00,-1.1,-1.2,7.3
1997-11-05 00:13:00,GIM,17.60,66.85,1.26,104.45,-11.7,-5.1,4.0
1997-11-05 00:13:00,PIN,17.52,60.72,4.33,102.77,-2.9,2.2,0.4
1997-11-05 00:13:00,RAN,17.77,73.10,-7.69,106.25,12.2,10.8,-1.7
1997-11-05 00:13:00,TAL,17.37,79.07,-17.98,105.94,9.8,-2.7,-3.2
1997-11-05 00:14:00,BLC,17.30,74.16,-0.76,104.72,14.7,-2.7,-1.6
1997-11-05 00:14:00,BSL,18.20,41.48,1.11,104.55,-0.2,2.1,-0.3
1997-11-05 00:14:00,DLR,17.26,39.03,7.68,94.82,0.1,0.7,-0.9
1997-11-05 00:14:00,EKP,17.60,71.37,-2.20,105.34,33.0,-10.2,3.3
1997-11-05 00:14:00,FCC,17.64,69.17,-0.65,105.13,-2.1,-1.2,7.3
1997-11-05 00:14:00,GIM,17.61,66.85,1.26,104.58,-13.6,-6.1,5.8
1997-11-05 00:14:00,PIN,17.54,60.72,4.33,102.93,-3.4,2.1,0.3
1997-11-05 00:14:00,RAN,17.79,73.10,-7.69,106.36,13.8,11.5,1.5
1997-11-05 00:14:00,TAL,17.39,79.07,-17.98,106.03,9.5,-1.4,-3.3
1997-11-05 00:15:00,BLC,17.31,74.16,-0.76,104.83,14.7,-1.7,2.4
1997-11-05 00:15:00,BSL,18.22,41.48,1.11,104.77,-0.2,2.1,-0.3
1997-11-05 00:15:00,DLR,17.28,39.03,7.68,95.03,0.1,0.6,-0.9
1997-11-05 00:15:00,EKP,17.62,71.37,-2.20,105.46,30.9,-12.1,4.5
1997-11-05 00:15:00,FCC,17.66,69.17,-0.65,105.25,-4.1,-1.3,7.3
1997-11-05 00:15:00,GIM,17.63,66.85,1.26,104.72,-16.1,-7.1,5.8
1997-11-05 00:15:00,PIN,17.56,60.72,4.33,103.08,-3.7,1.7,0.1
1997-11-05 00:15:00,RAN,17.81,73.10,-7.69,106.47,14.3,12.6,4.4
1997-11-05 00:15:00,TAL,17.40,79.07,-17.98,106.12,9.6,-0.2,-3.6
1997-11-05 00:16:00,BLC,17.33,74.16,-0.76,104.94,13.7,-0.7,5.4
1997-11-05 00:16:00,BSL,18.24,41.48,1.11,104.98,-0.3,2.0,-0.3
1997-11-05 00:16:00,DLR,17.29,39.03,7.68,95.24,0.0,0.6,-0.9
1997-11-05 00:16:00,EKP,17.64,71.37,-2.20,105.58,28.5,-13.7,5.6
1997-11-05 00:16:00,FCC,17.67,69.17,-0.65,105.38,-6.2,-1.3,6.3
1997-11-05 00:16:00,GIM,17.65,66.85,1.26,104.86,-16.1,-6.1,4.3
1997-11-05 00:16:00,PIN,17.57,60.72,4.33,103.24,-3.6,2.2,0.1
1997-11-05 00:16:00,RAN,17.82,73.10,-7.69,106.59,13.6,14.2,6.5
1997-11-05 00:16:00,TAL,17.42,79.07,-17.98,106.20,9.6,1.8,-3.4
