Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,SZA,N,E,Z
2008-02-10 00:00:00,BLC,16.70,73.64,-2.54,99.08,12.1,3.4,-12.7
2008-02-10 00:00:00,BSL,17.53,40.86,-0.08,94.66,17.1,6.3,0.3
2008-02-10 00:00:00,FCC,17.01,68.56,-1.85,98.58,13.5,1.0,0.3
2008-02-10 00:00:00,GIM,16.97,66.23,-0.09,97.69,12.7,1.7,-9.4
2008-02-10 00:00:00,PIN,16.89,60.06,2.92,95.20,24.9,-11.2,-11.5
2008-02-10 00:00:00,RAN,17.17,72.50,-7.83,100.43,19.0,7.6,-10.1
2008-02-10 00:00:00,TAL,16.84,78.54,-15.78,101.23,-45.8,5.4,-13.9
2008-02-10 00:01:00,BLC,16.72,73.64,-2.54,99.18,11.2,2.4,-11.7
2008-02-10 00:01:00,BSL,17.54,40.86,-0.08,94.87,18.1,6.3,-0.7
2008-02-10 00:01:00,FCC,17.02,68.56,-1.85,98.71,12.5,-0.1,0.3
2008-02-10 00:01:00,GIM,16.99,66.23,-0.09,97.83,11.2,0.2,-8.1
2008-02-10 00:01:00,PIN,16.90,60.06,2.92,95.36,25.3,-11.9,-12.0
2008-02-10 00:01:00,RAN,17.19,72.50,-7.83,100.54,18.8,5.6,-8.4
2008-02-10 00:01:00,TAL,16.85,78.54,-15.78,101.31,-46.6,6.8,-17.1
2008-02-10 00:02:00,BLC,16.73,73.64,-2.54,99.28,8.3,2.2,-11.6
2008-02-10 00:02:00,BSL,17.56,40.86,-0.08,95.08,18.1,6.2,0.3
2008-02-10 00:02:00,FCC,17.04,68.56,-1.85,98.83,10.5,-0.1,-0.6
2008-02-10 00:02:00,GIM,17.01,66.23,-0.09,97.96,9.7,0.9,-8.9
2008-02-10 00:02:00,PIN,16.92,60.06,2.92,95.51,27.0,-11.1,-12.1
2008-02-10 00:02:00,RAN,17.20,72.50,-7.83,100.65,15.5,3.9,-9.1
2008-02-10 00:02:00,TAL,16.87,78.54,-15.78,101.40,-46.7,9.3,-18.1
2008-02-10 00:03:00,BLC,16.75,73.64,-2.54,99.39,7.5,1.2,-12.5
2008-02-10 00:03:00,BSL,17.57,40.86,-0.08,95.28,18.1,6.2,0.3
2008-02-10 00:03:00,FCC,17.06,68.56,-1.85,98.96,11.5,-0.1,-1.6
2008-02-10 00:03:00,GIM,17.02,66.23,-0.09,98.09,10.3,1.6,-9.8
2008-02-10 00:03:00,PIN,16.93,60.06,2.92,95.67,27.3,-10.4,-11.8
2008-02-10 00:03:00,RAN,17.22,72.50,-7.83,100.76,15.0,3.7,-8.9
2008-02-10 00:03:00,TAL,16.89,78.54,-15.78,101.48,-44.2,11.1,-16.3
2008-02-10 00:04:00,BLC,16.77,73.64,-2.54,99.49,8.5,2.2,-14.5
2008-02-10 00:04:00,BSL,17.59,40.86,-0.08,95.49,18.1,6.2,0.3
2008-02-10 00:04:00,FCC,17.07,68.56,-1.85,99.08,11.5,0.8,-1.6
2008-02-10 00:04:00,GIM,17.04,66.23,-0.09,98.23,11.7,2.7,-11.0
2008-02-10 00:04:00,PIN,16.95,60.06,2.92,95.82,26.5,-10.4,-11.6
2008-02-10 00:04:00,RAN,17.23,72.50,-7.83,100.87,15.9,5.4,-9.1
2008-02-10 00:04:00,TAL,16.90,78.54,-15.78,101.57,-43.1,11.4,-13.9
2008-02-10 00:05:00,BLC,16.78,73.64,-2.54,99.60,9.6,2.3,-13.4
2008-02-10 00:05:00,BSL,17.61,40.86,-0.08,95.70,18.1,6.1,0.3
2008-02-10 00:05:00,FCC,17.09,68.56,-1.85,99.21,12.5,-0.2,-0.5
2008-02-10 00:05:00,GIM,17.06,66.23,-0.09,98.36,11.6,1.6,-10.4
2008-02-10 00:05:00,PIN,16.97,60.06,2.92,95.97,25.7,-11.2,-11.8
2008-02-10 00:05:00,RAN,17.25,72.50,-7.83,100.98,17.4,6.2,-7.3
2008-02-10 00:05:00,TAL,16.92,78.54,-15.78,101.65,-42.3,11.3,-14.3
2008-02-10 00:06:00,BLC,16.80,73.64,-2.54,99.70,11.7,2.4,-14.4
2008-02-10 00:06:00,BSL,17.62,40.86,-0.08,95.91,18.1,6.1,0.3
2008-02-10 00:06:00,FCC,17.11,68.56,-1.85,99.34,12.5,-0.2,0.5
2008-02-10 00:06:00,GIM,17.07,66.23,-0.09,98.50,12.6,1.8,-10.8
2008-02-10 00:06:00,PIN,16.98,60.06,2.92,96.13,26.6,-11.1,-12.1
2008-02-10 00:06:00,RAN,17.27,72.50,-7.83,101.10,18.4,5.9,-8.0
2008-02-10 00:06:00,TAL,16.93,78.54,-15.78,101.74,-41.8,10.1,-13.7
2008-02-10 00:07:00,BLC,16.82,73.64,-2.54,99.81,15.7,4.6,-13.3
2008-02-10 00:07:00,BSL,17.64,40.86,-0.08,96.12,18.2,6.1,0.4
2008-02-10 00:07:00,FCC,17.12,68.56,-1.85,99.46,13.4,0.8,1.5
2008-02-10 00:07:00,GIM,17.09,66.23,-0.09,98.63,12.0,1.8,-9.4
2008-02-10 00:07:00,PIN,17.00,60.06,2.92,96.28,26.0,-10.9,-12.2
2008-02-10 00:07:00,RAN,17.28,72.50,-7.83,101.21,21.3,9.1,-6.6
2008-02-10 00:07:00,TAL,16.95,78.54,-15.78,101.83,-42.0,10.2,-15.4
2008-02-10 00:08:00,BLC,16.83,73.64,-2.54,99.91,13.9,2.5,-12.2
2008-02-10 00:08:00,BSL,17.66,40.86,-0.08,96.33,18.2,6.0,0.4
2008-02-10 00:08:00,FCC,17.14,68.56,-1.85,99.59,12.4,-0.2,1.6
2008-02-10 00:08:00,GIM,17.11,66.23,-0.09,98.76,13.5,1.6,-10.0
2008-02-10 00:08:00,PIN,17.02,60.06,2.92,96.43,26.2,-11.7,-11.9
2008-02-10 00:08:00,RAN,17.30,72.50,-7.83,101.32,19.5,6.4,-5.5
2008-02-10 00:08:00,TAL,16.97,78.54,-15.78,101.91,-42.9,8.4,-16.2
2008-02-10 00:09:00,BLC,16.85,73.64,-2.54,100.02,10.1,0.3,-13.2
2008-02-10 00:09:00,BSL,17.67,40.86,-0.08,96.54,18.2,6.0,0.4
2008-02-10 00:09:00,FCC,17.16,68.56,-1.85,99.71,13.4,1.7,-0.4
2008-02-10 00:09:00,GIM,17.12,66.23,-0.09,98.90,13.1,2.4,-9.7
2008-02-10 00:09:00,PIN,17.03,60.06,2.92,96.59,26.5,-11.1,-12.1
2008-02-10 00:09:00,RAN,17.32,72.50,-7.83,101.43,16.2,3.9,-6.9
2008-02-10 00:09:00,TAL,16.98,78.54,-15.78,102.00,-44.9,8.5,-15.8
2008-02-10 00:10:00,BLC,16.87,73.64,-2.54,100.13,8.2,0.2,-13.1
2008-02-10 00:10:00,BSL,17.69,40.86,-0.08,96.75,18.2,6.0,0.4
2008-02-10 00:10:00,FCC,17.17,68.56,-1.85,99.84,12.4,1.7,-1.4
2008-02-10 00:10:00,GIM,17.14,66.23,-0.09,99.03,11.2,2.3,-9.1
2008-02-10 00:10:00,PIN,17.05,60.06,2.92,96.74,26.5,-10.7,-12.1
2008-02-10 00:10:00,RAN,17.33,72.50,-7.83,101.55,14.9,4.2,-8.8
2008-02-10 00:10:00,TAL,17.00,78.54,-15.78,102.08,-44.2,9.7,-16.6
2008-02-10 00:11:00,BLC,16.88,73.64,-2.54,100.23,8.3,1.2,-14.1
2008-02-10 00:11:00,BSL,17.71,40.86,-0.08,96.96,18.2,6.0,-0.6
2008-02-10 00:11:00,FCC,17.19,68.56,-1.85,99.97,12.4,1.7,-0.3
2008-02-10 00:11:00,GIM,17.16,66.23,-0.09,99.17,11.1,1.5,-9.4
2008-02-10 00:11:00,PIN,17.07,60.06,2.92,96.90,26.4,-11.0,-12.1
2008-02-10 00:11:00,RAN,17.35,72.50,-7.83,101.66,16.0,5.3,-8.8
2008-02-10 00:11:00,TAL,17.02,78.54,-15.78,102.17,-42.2,10.2,-15.6
2008-02-10 00:12:00,BLC,16.90,73.64,-2.54,100.34,10.4,2.3,-13.0
2008-02-10 00:12:00,BSL,17.72,40.86,-0.08,97.17,18.2,5.9,-0.6
2008-02-10 00:12:00,FCC,17.20,68.56,-1.85,100.09,11.4,0.6,-0.3
2008-02-10 00:12:00,GIM,17.17,66.23,-0.09,99.30,10.9,1.0,-9.6
2008-02-10 00:12:00,PIN,17.08,60.06,2.92,97.05,26.8,-11.2,-12.3
2008-02-10 00:12:00,RAN,17.37,72.50,-7.83,101.77,17.3,7.5,-7.1
2008-02-10 00:12:00,TAL,17.03,78.54,-15.78,102.25,-41.1,11.9,-14.6
2008-02-10 00:13:00,BLC,16.92,73.64,-2.54,100.44,11.5,2.4,-9.9
2008-02-10 00:13:00,BSL,17.74,40.86,-0.08,97.38,18.2,5.9,-0.6
2008-02-10 00:13:00,FCC,17.22,68.56,-1.85,100.22,11.4,-0.4,-0.3
2008-02-10 00:13:00,GIM,17.19,66.23,-0.09,99.44,12.7,2.0,-10.7
2008-02-10 00:13:00,PIN,17.10,60.06,2.92,97.21,26.8,-11.0,-12.2
2008-02-10 00:13:00,RAN,17.38,72.50,-7.83,101.88,18.3,7.6,-4.7
2008-02-10 00:13:00,TAL,17.05,78.54,-15.78,102.34,-40.0,12.7,-15.6
2008-02-10 00:14:00,BLC,16.93,73.64,-2.54,100.55,8.6,1.2,-8.9
2008-02-10 00:14:00,BSL,17.76,40.86,-0.08,97.59,18.2,5.9,-0.6
2008-02-10 00:14:00,FCC,17.24,68.56,-1.85,100.35,12.4,-0.4,-1.2
2008-02-10 00:14:00,GIM,17.20,66.23,-0.09,99.57,14.4,2.6,-11.5
2008-02-10 00:14:00,PIN,17.12,60.06,2.92,97.36,27.1,-10.9,-12.1
2008-02-10 00:14:00,RAN,17.40,72.50,-7.83,102.00,16.0,4.1,-5.7
2008-02-10 00:14:00,TAL,17.07,78.54,-15.78,102.43,-35.6,13.8,-17.2
2008-02-10 00:15:00,BLC,16.95,73.64,-2.54,100.65,8.8,0.2,-9.8
2008-02-10 00:15:00,BSL,17.77,40.86,-0.08,97.80,19.2,6.9,-0.5
2008-02-10 00:15:00,FCC,17.25,68.56,-1.85,100.48,14.3,1.6,-2.2
2008-02-10 00:15:00,GIM,17.22,66.23,-0.09,99.71,15.6,3.8,-11.4
